               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  86,               1.713,              1.2517,              1.7543,              0.8913,              0.8602,             0.92466,             0.59482,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.6892,              1.2079,              1.7662,             0.90752,             0.84228,             0.92616,             0.59676,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.6946,              1.2145,               1.774,             0.89818,             0.85443,             0.92995,             0.59847,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.6983,              1.2427,              1.7661,             0.88517,             0.86647,             0.92547,             0.59823,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.7156,              1.2152,              1.7721,             0.90602,             0.86805,             0.92426,             0.59255,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.7051,              1.1945,              1.7451,             0.91005,             0.84566,             0.92917,             0.60217,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.6914,              1.2063,              1.7401,             0.82306,             0.91239,             0.92763,              0.5965,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,               1.676,              1.1886,              1.7485,              0.9041,             0.85961,             0.92845,             0.59741,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.6702,              1.2006,              1.7673,             0.90923,              0.8515,             0.93103,             0.59844,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,               1.674,              1.1898,              1.7489,             0.90862,             0.85097,             0.93261,             0.59858,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.6766,              1.1924,              1.7671,             0.90444,             0.85582,             0.93264,             0.59359,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.6657,              1.1617,              1.7417,             0.90658,              0.8621,             0.93621,             0.60429,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.6857,              1.2267,              1.7397,             0.90574,             0.86266,             0.93687,             0.60577,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.6739,              1.1677,              1.6976,             0.90521,             0.86171,             0.93753,             0.60454,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
